success_rate,avg_attempts,avg_time_spent,syntax_errors,structural_errors,label
0.108,5.46,211,5,6,Easy
0.399,1.87,108,0,0,Easy
0.301,3.37,143,2,1,Easy
0.334,5.52,197,2,4,Easy
0.429,4.34,63,2,1,Easy
0.141,6.64,273,4,4,Easy
0.066,8.82,255,5,5,Easy
0.318,4.14,144,3,1,Easy
0.042,7.33,316,6,4,Easy
0.349,4.46,155,1,2,Easy
0.332,3.51,92,3,3,Easy
0.332,5.5,129,0,1,Easy
0.244,7.52,248,3,4,Easy
0.244,5.13,184,4,2,Easy
0.112,6.62,264,4,5,Easy
0.239,4.46,189,3,3,Easy
0.241,4.31,162,4,2,Easy
0.284,4.86,160,5,3,Easy
0.388,2.63,93,3,2,Easy
0.217,3.37,255,5,2,Easy
0.236,5.59,207,5,1,Easy
0.145,6.67,301,4,4,Easy
0.389,2.9,127,2,4,Easy
0.4,2.79,125,2,2,Easy
0.115,6.16,204,7,4,Easy
0.201,5.37,172,4,4,Easy
0.387,3.39,104,2,2,Easy
0.169,9.4,395,2,3,Easy
0.422,4.6,95,0,0,Easy
0.213,5.93,220,4,3,Easy
0.065,6.61,259,5,5,Easy
0.277,6.46,204,3,3,Easy
0.338,3.03,81,4,2,Easy
0.417,3.49,73,1,3,Easy
0.356,2.62,158,3,3,Easy
0.169,10,560,3,4,Easy
0.012,9.01,314,6,5,Easy
0.177,5.44,236,4,1,Easy
0.342,4.51,164,3,3,Easy
0.31,5.76,177,5,2,Easy
0.397,5.48,98,4,1,Easy
0.451,4.06,64,1,2,Easy
0.368,2.65,129,1,2,Easy
0.055,7.6,271,5,3,Easy
0.039,5.84,295,5,5,Easy
0.162,5.88,227,4,3,Easy
0.021,7.26,235,6,5,Easy
0.002,6.02,258,3,5,Easy
0.238,6.27,262,4,2,Easy
0.143,4.66,253,3,4,Easy
0.249,7.15,174,3,3,Easy
0.164,5.31,183,4,4,Easy
0.286,4.35,147,3,4,Easy
0.311,3.21,175,3,3,Easy
0.102,4.13,234,3,4,Easy
0.353,5.29,89,0,2,Easy
0.334,1.49,160,1,4,Easy
0.284,5.94,203,3,2,Easy
0.106,6.07,196,5,4,Easy
0,7.64,295,7,5,Easy
0.212,5.53,197,3,1,Easy
0.115,7.3,258,4,4,Easy
0.274,4.8,135,2,3,Easy
0.381,1.27,67,4,2,Easy
0.334,3.44,166,4,1,Easy
0.117,7.83,231,5,5,Easy
0.088,4.6,277,6,5,Easy
0.234,5.48,169,3,3,Easy
0.09,5.05,234,3,5,Easy
0.319,4.25,188,4,2,Easy
0.393,2.37,149,1,0,Easy
0.447,4.3,154,1,0,Easy
0.232,5.74,175,5,3,Easy
0.387,4.48,130,1,3,Easy
0.373,4.87,170,3,1,Easy
0.066,6.83,334,7,4,Easy
0.328,4.62,147,3,2,Easy
0.253,4.89,131,3,4,Easy
0.332,3.55,101,2,2,Easy
0.227,5.09,150,4,3,Easy
0.052,5.59,280,8,3,Easy
0.305,4.55,140,5,2,Easy
0.255,5.93,210,3,2,Easy
0.494,1.14,111,1,1,Easy
0.147,4.73,192,6,3,Easy
0.425,3.57,179,1,0,Easy
0.36,2.64,150,0,2,Easy
0,7.12,316,7,5,Easy
0.438,4.85,153,1,2,Easy
0.424,3.74,141,2,3,Easy
0.333,4.02,127,3,2,Easy
0.443,4.48,154,1,2,Easy
0.444,3.85,133,0,0,Easy
0.031,5.62,199,3,5,Easy
0.155,4.85,146,5,3,Easy
0.129,7.35,256,4,5,Easy
0.077,7.15,287,5,4,Easy
0.415,4.14,98,2,1,Easy
0.149,7.11,213,5,3,Easy
0.057,6.27,265,6,3,Easy
0.261,4.21,136,5,4,Easy
0.07,7.21,216,5,4,Easy
0.172,8.04,215,4,2,Easy
0.361,4.48,140,2,3,Easy
0.229,7.06,189,4,2,Easy
0.459,5.13,97,1,2,Easy
0.203,5.77,181,5,3,Easy
0.275,1.88,164,1,3,Easy
0.168,6.58,233,4,1,Easy
0.452,3.29,120,2,1,Easy
0.023,8.36,302,6,4,Easy
0.13,5.28,207,5,4,Easy
0.464,2.79,72,1,1,Easy
0.484,2.27,87,0,0,Easy
0.276,4.05,234,3,1,Easy
0.466,2.25,139,2,2,Easy
0,5.77,254,6,5,Easy
0.104,7.48,182,5,4,Easy
0.143,5.98,225,4,4,Easy
0.319,4.88,123,4,3,Easy
0,8.32,237,6,4,Easy
0.264,4.31,154,2,2,Easy
0.143,6.69,362,4,4,Easy
0.005,8.26,265,6,4,Easy
0.479,2.92,55,2,0,Easy
0.424,4.17,112,1,1,Easy
0.004,8.66,247,6,5,Easy
0.385,3.31,90,0,4,Easy
0.402,4.08,108,3,0,Easy
0.342,5.68,120,3,4,Easy
0.027,8.24,268,5,5,Easy
0.166,3.05,188,3,3,Easy
0.092,5.9,267,5,2,Easy
0.208,5.4,220,3,1,Easy
0.174,5.96,201,6,3,Easy
0.264,3.23,141,4,3,Easy
0.377,5.05,157,3,2,Easy
0.359,5.94,167,2,2,Easy
0.405,3.08,60,2,2,Easy
0.281,4.69,140,4,4,Easy
0.332,2.22,187,2,3,Easy
0.525,3.22,98,2,2,Intermediate
0.616,2.14,103,1,1,Intermediate
0.641,3.2,51,0,0,Intermediate
0.78,1.69,63,1,0,Intermediate
0.677,1.98,87,0,1,Intermediate
0.706,1.55,100,0,0,Intermediate
0.529,3.41,90,1,0,Intermediate
0.546,3.72,94,1,2,Intermediate
0.563,3.26,87,1,0,Intermediate
0.587,1.95,121,2,1,Intermediate
0.693,3.47,71,0,1,Intermediate
0.548,3.74,131,2,1,Intermediate
0.752,3.07,62,1,0,Intermediate
0.796,1,55,0,1,Intermediate
0.671,1,76,2,0,Intermediate
0.59,3.17,91,1,0,Intermediate
0.554,4.15,124,2,2,Intermediate
0.769,1,66,0,0,Intermediate
0.516,5.77,147,0,1,Intermediate
0.69,2.99,79,0,1,Intermediate
0.647,2.77,74,1,0,Intermediate
0.802,1,49,0,1,Intermediate
0.553,3.27,100,2,1,Intermediate
0.614,1.8,104,2,1,Intermediate
0.637,2.43,81,0,1,Intermediate
0.727,1.89,42,2,0,Intermediate
0.516,2.63,96,2,1,Intermediate
0.634,2.63,114,0,1,Intermediate
0.623,1.59,73,1,1,Intermediate
0.798,3.53,268,0,0,Intermediate
0.696,3.13,67,0,1,Intermediate
0.635,2.82,64,1,0,Intermediate
0.499,3.07,162,1,0,Intermediate
0.632,2.17,99,0,1,Intermediate
0.695,2.5,73,1,1,Intermediate
0.645,1.5,56,1,2,Intermediate
0.751,2.93,76,0,0,Intermediate
0.53,4.95,102,2,2,Intermediate
0.521,3.79,153,1,2,Intermediate
0.575,3.12,96,2,1,Intermediate
0.611,3.31,47,1,1,Intermediate
0.705,3.16,76,0,0,Intermediate
0.519,3.12,76,1,1,Intermediate
0.708,2.99,88,1,1,Intermediate
0.632,3,56,1,0,Intermediate
0.507,4.03,143,3,2,Intermediate
0.759,2.36,57,2,0,Intermediate
0.561,3.26,122,1,0,Intermediate
0.589,3.29,124,1,1,Intermediate
0.736,1.17,55,1,2,Intermediate
0.785,1,83,0,0,Intermediate
0.513,3.8,111,2,2,Intermediate
0.696,1.8,84,2,1,Intermediate
0.5,4.02,103,2,2,Intermediate
0.743,2.49,65,0,1,Intermediate
0.715,3.12,51,0,0,Intermediate
0.79,1.69,61,0,0,Intermediate
0.549,5.68,326,2,2,Intermediate
0.753,1.39,32,0,1,Intermediate
0.644,4.55,108,1,1,Intermediate
0.595,1.89,65,1,1,Intermediate
0.75,1,90,1,1,Intermediate
0.476,4.2,148,2,1,Intermediate
0.481,5.64,112,3,1,Intermediate
0.764,1.53,62,0,1,Intermediate
0.579,1.45,111,2,1,Intermediate
0.715,1.61,104,1,0,Intermediate
0.748,1,53,1,1,Intermediate
0.524,4.77,116,0,1,Intermediate
0.564,2.32,94,1,1,Intermediate
0.631,3.42,94,0,0,Intermediate
0.781,2.38,78,1,1,Intermediate
0.588,3.02,76,1,1,Intermediate
0.521,3.53,112,2,1,Intermediate
0.587,2.52,82,1,1,Intermediate
0.609,2.88,103,2,0,Intermediate
0.472,4.03,137,3,1,Intermediate
0.516,2.81,112,3,1,Intermediate
0.669,2.37,79,0,0,Intermediate
0.756,1.1,50,0,1,Intermediate
0.778,2.62,52,1,0,Intermediate
0.75,2.07,51,1,0,Intermediate
0.563,2.23,99,2,1,Intermediate
0.719,1.94,70,0,1,Intermediate
0.719,2.74,78,1,0,Intermediate
0.552,3.55,127,2,2,Intermediate
0.724,1.26,108,1,0,Intermediate
0.514,3.42,110,0,1,Intermediate
0.702,1.69,54,0,0,Intermediate
0.63,3.63,101,0,1,Intermediate
0.757,1.26,62,0,1,Intermediate
0.704,2.89,114,0,2,Intermediate
0.487,3.45,104,1,2,Intermediate
0.697,3.24,98,0,1,Intermediate
0.621,2.91,125,1,0,Intermediate
0.717,1.23,85,0,0,Intermediate
0.72,1.7,60,0,0,Intermediate
0.569,2.12,99,0,1,Intermediate
0.532,6.27,319,3,1,Intermediate
0.617,2.52,105,2,0,Intermediate
0.72,1.9,102,0,1,Intermediate
0.689,1.34,59,1,2,Intermediate
0.587,1.46,98,1,1,Intermediate
0.491,4.57,145,3,1,Intermediate
0.472,4.79,99,2,1,Intermediate
0.776,1.67,55,0,0,Intermediate
0.493,3.97,116,1,3,Intermediate
0.479,3.76,160,2,2,Intermediate
0.611,3.03,93,1,1,Intermediate
0.573,4.11,121,1,2,Intermediate
0.706,3.05,48,0,1,Intermediate
0.476,2.96,132,2,1,Intermediate
0.628,4.9,176,1,1,Intermediate
0.595,2.43,89,2,1,Intermediate
0.69,2.5,81,0,1,Intermediate
0.47,3.51,115,3,3,Intermediate
0.617,4.44,64,1,1,Intermediate
0.597,3.78,90,1,1,Intermediate
0.509,3.36,109,0,1,Intermediate
0.781,2.1,74,0,0,Intermediate
0.473,3.82,138,0,1,Intermediate
0.59,1.84,87,2,1,Intermediate
0.724,2.58,19,0,0,Intermediate
0.799,2.16,42,0,0,Intermediate
0.776,1.16,35,0,0,Intermediate
0.734,1.24,53,1,1,Intermediate
0.507,4.01,90,3,2,Intermediate
0.576,2.7,98,1,1,Intermediate
0.669,2.41,84,0,1,Intermediate
0.616,2.37,84,2,1,Intermediate
0.7,2.35,86,1,0,Intermediate
0.666,2.44,49,1,0,Intermediate
0.619,2.38,66,1,1,Intermediate
0.729,3.43,82,0,1,Intermediate
0.527,3.7,95,2,1,Intermediate
0.521,2.51,102,2,2,Intermediate
0.518,2.29,142,0,0,Intermediate
0.61,4.14,95,1,1,Intermediate
0.677,1.8,75,0,1,Intermediate
0.474,5.24,136,2,2,Intermediate
0.771,1.37,15,1,0,Intermediate
0.57,3.17,135,0,1,Intermediate
0.667,2.44,75,2,1,Intermediate
0.597,2.52,61,1,2,Intermediate
0.598,1.28,78,2,0,Intermediate
0.671,4.23,70,0,1,Intermediate
0.544,2.89,128,1,0,Intermediate
0.495,3.86,132,2,1,Intermediate
0.656,2.84,101,0,0,Intermediate
0.741,2.36,53,0,1,Intermediate
0.553,3.59,110,2,1,Intermediate
0.493,2.82,88,1,0,Intermediate
0.753,1.17,61,0,0,Intermediate
0.704,1.85,89,0,0,Intermediate
0.629,3.01,108,1,0,Intermediate
0.721,1.42,68,0,1,Intermediate
0.605,3.63,74,1,1,Intermediate
0.592,2.6,88,2,1,Intermediate
0.627,1.76,81,1,1,Intermediate
0.781,2.5,84,0,0,Intermediate
0.622,3.11,63,0,1,Intermediate
0.733,1.75,42,1,0,Intermediate
0.629,2.19,100,2,1,Intermediate
0.504,4.03,129,1,0,Intermediate
0.584,3.6,102,1,0,Intermediate
0.725,1.06,82,1,0,Intermediate
0.739,1.15,54,1,0,Intermediate
0.596,2.49,84,1,2,Intermediate
0.567,3.01,118,2,1,Intermediate
0.623,3.6,110,2,0,Intermediate
0.533,3.94,124,2,1,Intermediate
0.478,3.32,139,3,2,Intermediate
0.519,3.47,112,0,1,Intermediate
0.646,1.93,88,1,0,Intermediate
0.748,1.88,54,0,1,Intermediate
0.67,6.72,233,1,1,Intermediate
0.633,3.19,98,2,0,Intermediate
0.575,3.7,110,2,0,Intermediate
0.776,1.44,82,1,1,Intermediate
0.744,7.32,123,2,0,Intermediate
0.742,1,62,0,0,Intermediate
0.563,3.25,90,1,2,Intermediate
0.694,1.26,86,2,0,Intermediate
0.649,2.79,113,0,0,Intermediate
0.778,1.26,49,0,0,Intermediate
0.507,3.55,106,2,1,Intermediate
0.706,2.27,63,0,0,Intermediate
0.506,4.51,124,1,3,Intermediate
0.491,3.95,131,1,0,Intermediate
0.678,3.6,122,0,1,Intermediate
0.637,2.6,105,2,0,Intermediate
0.54,4.96,126,2,0,Intermediate
0.509,4.41,120,1,2,Intermediate
0.786,1.5,66,1,0,Intermediate
0.565,2.77,98,2,1,Intermediate
0.65,2.38,97,0,0,Intermediate
0.669,3.09,85,1,2,Intermediate
0.743,1,67,0,0,Intermediate
0.643,2.15,44,2,2,Intermediate
0.723,1.66,50,0,1,Intermediate
0.651,3.14,107,1,1,Intermediate
0.654,3.94,64,0,2,Intermediate
0.687,3.25,117,0,0,Intermediate
0.792,1,23,0,0,Intermediate
0.67,2.49,80,2,2,Intermediate
0.696,1.71,90,2,0,Intermediate
0.592,3.66,105,1,3,Intermediate
0.683,1,49,1,0,Intermediate
0.552,5.14,125,3,0,Intermediate
0.501,4.05,115,1,1,Intermediate
0.528,4.42,187,3,3,Intermediate
0.652,1.63,98,0,0,Intermediate
0.563,2.5,98,2,0,Intermediate
0.647,2.33,90,0,1,Intermediate
0.69,2.45,98,1,1,Intermediate
0.664,2.66,77,1,1,Intermediate
0.59,2.95,112,1,2,Intermediate
0.754,2.41,69,0,0,Intermediate
0.773,3.12,58,2,0,Intermediate
0.438,3.95,149,3,2,Intermediate
0.674,2.6,100,1,2,Intermediate
0.764,4.54,136,0,0,Intermediate
0.582,2.84,108,1,1,Intermediate
0.52,2.78,116,3,1,Intermediate
0.741,1,74,1,0,Intermediate
0.759,1.7,73,0,0,Intermediate
0.707,3.58,92,0,0,Intermediate
0.677,1.17,67,1,2,Intermediate
0.631,2.74,111,0,2,Intermediate
0.528,4.12,104,3,1,Intermediate
0.522,2.96,120,0,0,Intermediate
0.63,3.59,152,2,1,Intermediate
0.671,3.18,120,1,1,Intermediate
0.546,3.41,115,0,1,Intermediate
0.784,1.25,73,1,0,Intermediate
0.625,3.34,95,2,1,Intermediate
0.761,1.95,92,0,0,Intermediate
0.576,2.36,98,1,1,Intermediate
0.469,3.9,124,0,1,Intermediate
0.758,2.52,87,0,1,Intermediate
0.8,1.93,58,0,0,Hard
0.806,1.83,69,1,1,Hard
0.802,1.78,74,1,1,Hard
0.876,1,29,0,1,Hard
0.979,1.39,10,0,0,Hard
0.925,1.04,54,0,0,Hard
1,1,10,0,0,Hard
0.769,2.4,93,1,0,Hard
0.999,1.21,27,1,0,Hard
0.81,1.28,33,1,0,Hard
0.928,1,19,0,1,Hard
0.797,2.41,80,1,1,Hard
0.932,1.63,39,1,1,Hard
0.936,1,33,0,0,Hard
0.798,2.41,81,1,1,Hard
0.981,1.12,10,0,0,Hard
0.863,3,51,1,0,Hard
0.931,1.27,64,0,1,Hard
0.986,1.32,28,1,0,Hard
0.962,1.16,38,0,0,Hard
0.936,1.36,30,1,0,Hard
0.907,5.64,77,0,1,Hard
0.858,1.43,56,0,1,Hard
0.985,1,35,0,0,Hard
0.97,1.12,25,0,0,Hard
0.969,1,19,1,0,Hard
0.955,1.24,26,0,0,Hard
0.823,3,65,2,0,Hard
0.864,1.18,66,1,1,Hard
0.937,1.25,38,0,0,Hard
0.979,1,10,0,0,Hard
0.883,1,55,0,0,Hard
0.946,1.66,38,0,0,Hard
0.967,1.21,24,1,0,Hard
0.838,1.39,72,1,0,Hard
0.851,1.51,56,1,0,Hard
0.884,2.18,86,0,1,Hard
0.931,1.38,22,0,0,Hard
0.843,2.12,73,0,1,Hard
0.889,2.02,48,1,1,Hard
1,1,31,1,0,Hard
0.953,1.11,24,0,0,Hard
1,1.18,31,0,0,Hard
0.949,2.58,30,0,0,Hard
0.934,2.54,23,0,0,Hard
0.922,1.99,30,0,0,Hard
0.949,2.07,46,0,0,Hard
0.833,2.01,58,1,0,Hard
0.985,1,19,0,0,Hard
0.843,1.69,53,0,0,Hard
0.923,1.88,25,1,1,Hard
0.809,2.85,60,1,0,Hard
0.928,1.46,45,0,1,Hard
0.799,2.75,28,1,1,Hard
0.975,1.01,20,0,0,Hard
0.838,1,71,0,1,Hard
0.815,2.43,72,1,0,Hard
0.844,2.25,74,1,1,Hard
1,1.35,36,0,1,Hard
0.851,1.43,70,1,1,Hard
0.923,1.48,52,0,0,Hard
0.925,1.73,32,0,0,Hard
0.963,1,16,0,0,Hard
0.878,1.97,53,0,0,Hard
0.845,1.51,33,0,1,Hard
0.899,2.13,42,0,0,Hard
0.854,1.6,43,2,1,Hard
0.99,1,10,1,0,Hard
0.999,1,10,1,0,Hard
0.879,2.15,75,1,0,Hard
0.854,2.03,35,1,0,Hard
0.915,1.79,43,0,0,Hard
0.95,1,39,1,0,Hard
0.901,1.89,42,0,0,Hard
0.889,2.15,49,0,1,Hard
0.954,3.92,59,0,0,Hard
0.806,2.72,50,1,1,Hard
0.91,1,25,1,1,Hard
0.895,1.96,58,0,1,Hard
0.812,2.28,70,1,0,Hard
0.839,2.5,93,1,1,Hard
0.816,1.71,70,2,0,Hard
1,1.84,14,1,0,Hard
0.91,1.36,41,1,0,Hard
0.969,1,10,0,0,Hard
0.79,2.17,89,1,0,Hard
0.95,1.51,39,0,0,Hard
0.831,2.05,42,1,1,Hard
0.815,1.54,66,0,1,Hard
0.851,2.46,36,1,1,Hard
0.846,1.94,42,1,1,Hard
0.841,2.08,42,1,0,Hard
0.937,1.65,48,1,0,Hard
0.952,4.98,63,0,0,Hard
0.964,1.55,24,0,0,Hard
0.928,1.9,29,1,0,Hard
0.965,1.35,34,0,1,Hard
0.866,1.92,62,1,0,Hard
0.929,1.26,31,0,0,Hard
0.844,1.94,57,1,1,Hard
0.944,1,28,0,0,Hard
0.902,1,10,1,0,Hard
0.811,2.41,69,0,1,Hard
0.954,1.43,10,0,0,Hard
0.943,1,23,1,1,Hard
0.82,2.59,85,1,0,Hard
0.79,1.95,85,1,1,Hard
0.945,1.99,10,1,0,Hard
0.912,2.19,51,0,1,Hard
0.887,2.11,67,0,1,Hard
0.82,1.31,62,1,0,Hard
0.959,1.1,59,0,0,Hard
0.972,1,28,0,0,Hard
0.859,2.6,59,0,1,Hard
0.913,1.71,53,0,0,Hard
0.812,3.06,92,1,1,Hard
0.981,1.75,20,1,0,Hard
0.97,1.56,42,0,0,Hard
0.865,1.95,66,1,1,Hard
0.879,1.69,47,1,0,Hard
0.928,1,30,0,1,Hard
0.932,1.55,35,0,0,Hard
0.96,1.42,36,1,0,Hard
0.832,1.7,68,0,0,Hard
0.811,1.95,75,0,1,Hard
0.944,1.97,36,0,0,Hard
0.918,1.37,64,0,0,Hard
0.936,1.43,58,0,0,Hard
0.866,2.97,19,1,0,Hard
0.947,1.84,39,0,0,Hard
0.835,1.88,56,1,1,Hard
0.873,1.58,35,0,0,Hard
0.957,1.13,27,0,0,Hard
0.904,1.09,36,0,0,Hard
0.925,1.69,16,0,0,Hard
0.897,1.89,42,1,0,Hard
0.844,2.17,23,1,0,Hard
0.864,1.85,30,1,1,Hard
0.787,2.22,62,1,1,Hard
0.855,1.37,48,2,0,Hard
0.969,1,18,0,1,Hard
0.964,1.07,24,0,0,Hard
0.88,1.16,19,0,1,Hard
1,1,10,0,0,Hard
0.9,1.54,27,0,0,Hard
0.838,2.12,58,1,0,Hard
0.96,1.22,51,0,0,Hard
0.82,1.39,69,1,1,Hard
0.908,1.44,70,1,1,Hard
0.926,1.26,44,0,0,Hard
0.822,1.18,56,1,0,Hard
0.903,1.36,26,0,0,Hard
0.908,1,43,0,0,Hard
0.828,1.86,42,1,0,Hard
0.8,1.98,66,1,0,Hard
0.952,2.02,40,0,0,Hard
0.832,1.15,61,1,1,Hard
0.902,1.35,43,0,1,Hard
1,1,10,0,0,Hard
0.814,1.94,69,1,0,Hard
0.882,1,48,0,1,Hard
0.96,1.46,27,0,0,Hard
0.851,1.97,66,1,0,Hard
0.856,2.36,51,2,0,Hard
0.785,3.05,58,0,1,Hard
0.838,2.92,78,0,1,Hard
0.93,1.14,36,0,0,Hard
0.831,2.16,64,0,1,Hard
0.875,1.2,82,2,1,Hard
0.905,1.53,14,1,0,Hard
0.988,1,32,1,0,Hard
0.772,2.27,65,1,1,Hard
0.944,1,44,1,0,Hard
0.91,1.46,17,0,1,Hard
0.848,1.92,74,1,1,Hard
0.844,2.23,71,2,1,Hard
0.952,1,62,1,0,Hard
0.914,2.01,48,1,0,Hard
0.842,2.41,50,1,0,Hard
0.955,2.2,30,0,0,Hard
0.943,1,39,2,0,Hard
0.796,2.94,73,1,1,Hard
0.892,1.43,58,0,0,Hard
0.819,1.83,43,0,0,Hard
0.933,1.19,50,1,0,Hard
0.992,1.21,40,0,0,Hard
0.853,2.24,35,1,0,Hard
0.891,1.2,73,0,1,Hard
0.942,3.97,93,1,0,Hard
0.951,1.18,38,0,0,Hard
0.959,1.43,10,1,0,Hard
0.872,1.91,47,1,0,Hard
0.881,1.98,61,0,0,Hard
0.944,1.82,34,1,0,Hard
0.986,1.2,38,0,1,Hard
0.894,1.22,36,1,0,Hard
0.789,1.81,59,1,0,Hard
0.819,2.57,58,1,1,Hard
0.974,1,42,0,0,Hard
0.896,2.92,42,1,0,Hard
0.938,1.22,19,1,1,Hard
0.854,1,37,0,0,Hard
0.94,1.07,34,0,0,Hard
0.893,2.74,19,0,1,Hard
0.897,1.28,35,0,1,Hard
1,1,10,0,0,Hard
0.809,1.45,52,1,0,Hard
0.916,1.21,22,0,0,Hard
0.949,2.36,31,0,1,Hard
0.858,1.66,45,0,1,Hard
0.882,1.78,44,0,0,Hard
0.824,2.24,48,0,0,Hard
0.901,2.57,44,1,0,Hard
0.833,1.75,40,0,0,Hard
0.924,1,22,1,0,Hard
0.868,1.36,66,0,1,Hard
0.89,2.29,33,1,0,Hard
0.801,1.72,46,1,1,Hard
0.898,1.16,35,1,1,Hard
0.915,2.92,66,0,1,Hard
1,1,27,0,1,Hard
0.843,1.92,36,2,0,Hard
0.9,1.56,38,0,0,Hard
0.846,2.92,52,0,0,Hard
0.854,2.13,56,1,1,Hard
0.89,1.43,31,1,0,Hard
0.901,2.31,40,1,0,Hard
0.911,1.46,36,0,1,Hard
0.796,2.02,72,2,1,Hard
0.845,2.51,29,1,0,Hard
0.977,1,10,0,0,Hard
0.877,1.7,39,0,0,Hard
0.829,2.34,67,1,1,Hard
0.945,2.19,47,0,0,Hard
0.883,2.26,28,0,0,Hard
0.918,1.24,55,1,0,Hard
0.918,1.79,36,0,0,Hard
0.864,1.78,47,1,0,Hard
0.859,2.21,35,2,1,Hard
0.932,1.42,49,1,0,Hard
